#6f0c06,#c6b6da,#2fdfae,#0cd2df,#077e85
#e6758a,#e8d9e0,#8aa648,#675430,#0f1716
#28807e,#ee4c50,#c34c19,#bbbbbb,#aaaaaa
#385dd2,#d86bdc,#00ece0,#ff4ea6,#ff0442
#6f0c06,#dab9ea,#ccf6b8,#1aa780,#0d6358
#a1b0c4,#012454,#f2d78a,#c68a2a,#7bbbd0
#0d4737,#6fa39f,#b0ccba,#f1f2e9,#630f0f
#7998ad,#67838f,#e24025,#d74166,#eb748f
#c9dcc6,#f2d8c4,#c4bad7,#bdd0e4,#f5f0c8
#ffd60a,#ffc300,#1be7ff,#9bc53d,#6eeb83
#f8f1fa,#46354e,#747f6f,#a6a5a8,#e2dce2
#243b2b,#344b7b,#8ca4b4,#c8cacb,#ffffff
#00a0d9,#b800a6,#68a549,#ff4ea6,#fdcd00
#ae5959,#dab9ea,#b7e3a2,#1aa780,#117c6f
#c7622b,#2b7469,#a8b65f,#9355a3,#255498
#42bfec,#ec0054,#b80046,#ff8b00,#ff44b4
#f2d6d6,#fdbfbf,#f4a4a4,#fb9696,#f47575
#31221d,#586b2a,#f8f8eb,#737373,#d9d9d9
#d27682,#c63127,#b23626,#a21c20,#a11e2b
#fb7042,#f64c3b,#c3283f,#860235,#740838
#f7f2e9,#df855b,#ecb08c,#aa3e2e,#d86141
#1c1717,#4a2626,#805757,#f4ecec,#c3142e
#f7347a,#ffc0cb,#5ac18e,#fff68f,#9797c3
#ff84ba,#ffdd38,#00c8bd,#ff7e48,#fa0000
#ff3f3f,#38ddd9,#ffbc3e,#92c12b,#ff61a1
#202020,#6b2229,#ff0d00,#ff6e00,#ffa600
#47f5ec,#20cfd7,#fc6b60,#c25f5f,#aaaaaa
#493c60,#c6a9cc,#8d81c1,#9fa8df,#0c0a19
#9ba59c,#f7ebdb,#e2d9b9,#edd8bc,#f5ceb3
#8abeee,#8aacf4,#9591ee,#787fdb,#7c74ce
#9c958f,#75655e,#4a3a34,#ced4d7,#0d0e10
